id,Phrase,Category,Points,Queries,Rank
1,Nelson Mandela,People,10,"nelson mandela quotes, nelson mandela death, nelson mandela dead, nelson mandela news, apartheid, nelson mandela apartheid, nelson mandela frases, nelson mandela biografia, about nelson mandela, nelson mandela biography",1
2,Paul Walker,People,9,"paul walker dead, paul walker death, paul walker crash, fast and furious, paul walker muerte, video paul walker, paul walker facebook, paul walker car, accident paul walker, vin diesel",2
3,Malala Yousafzai,People,8,"malala speech, malala yousafzai speech, malala yousafzai nobel, malala yousafzai shot, malala yousafzai blog, malala yousafzai news, malala yousafzai facebook, taliban, malala yousafzai youtube, jon stewart malala",3
4,James Gandolfini,People,7,"james gandolfini dead, sopranos james gandolfini, sopranos, soprano, james gandolfini died, james gandolfini funeral, tony soprano, james gandolfini movie, deborah lin gandolfini, james gandolfini death",4
5,Miley Cyrus,People,6,"miley cyrus 2013, wrecking ball, vma miley cyrus, miley cyrus video, miley cyrus vmas, youtube miley cyrus, miley cyrus lyrics, liam hemsworth, selena gomez, twerk ",5
6,Oscar Pistorius,People,5,"reeva, steenkamp, reeva steenkamp, oscar pistorius girlfriend, pistorius girlfriend, oscar pistorius news, latest oscar pistorius, oscar jokes, twitter oscar pistorius, oscar pistorius jokes",6
7,Jennifer Lawrence,People,4,"jennifer, jennifer lawrence, lawrence, hunger games, jennifer lawrence hot, oscar, jennifer lawrence oscar, bradley cooper, josh hutcherson, oscars ",7
8,Aaron Hernandez,People,3,"aaron hernandez girlfriend, aaron hernandez news, odin lloyd, hernandez arrested, aaron hernandez arrested, aaron hernandez fiance, hernandez patriots, patriots aaron hernandez, aaron hernandez murder, aaron hernandez gang",8
9,Charlie Hunnam,People,2,"dakota johnson, shades of grey, sons of anarchy, 50 shades, christian grey, pacific rim, matt bomer, jax, charlie hunnam girlfriend, charlie hunnam morgana",9
10,Adrian Peterson,People,1,"adrian peterson son, adrian peterson stats, joseph patterson, adrian peterson vikings, adrian peterson kids, news adrian peterson, adrian peterson death, adrian peterson baby, adrian peterson fantasy, joseph robert patterson",10
11,Boston Marathon,Events,10,"marathon boston explosion, boston explosion, boston bombing, marathon bombing boston, boston marathon 2013, the boston marathon, boston bomb marathon, boston bomb, news boston, news boston marathon",1
12,Typhoon Haiyan,Events,9,"typhoon philippines, typhoon haiyan philippines, haiyan philippines, haiyan super typhoon, super typhoon, haiyan typhoon news, haiyan typhoon path, typhoon haiyan yolanda, haiyan vietnam, yolanda typhoon",2
13,Government Shutdown,Events,8,"government shutdown 2013, the government shutdown, us shutdown, us government shutdown, us government, will government shutdown, news government shutdown, federal government shutdown, why government shutdown",3
14,2014 FIFA World Cup,Events,7,"brazil 2014, world cup brazil, fifa brazil 2014, fifa 2013, world cup 2013, world cup draw, fifa draw, fifa 2014 tickets, world cup tickets, fifa qualifiers 2014",4
